Name,College,Degree_Branch,Ratings,Heading,Review,Rating
Rashmi Ranjan Nayak,Institute of Pharmacy and Technology - [IPT],"B.Pharma,",8.6,Journey in ipt,"I pursue B.Pharmacy courses as there are many opportunities in this field. Our college has many faculty for different subjects. More than one faculty also taught us a single subject. Many of the teachers are PhD certified in different subjects. In our course total of 8 semesters will occur, the gap between each semester is around 5-6 months. It's not very easy not much difficult to pass.",
Rimli Dadhara,Kaliabor College,"B.Sc, Biotechnology",7.0,Degree is affordable as compared to other colleges.,"There is a college week in the month of January or February. Other than that, there are no other programs held. There is a college library that students have access to. So, one can go and find some books for their studies, but the library does not have any books that are related to biotechnology. The books are also lent to students from the department itself for a day or two. There are a few groups and clubs where students can volunteer, such as an environmental conservation group. There is a joining fee of Rs 50 for these groups.",
Shivanshi Singh,MIT World Peace University - [MIT-WPU],"B.Tech, Computer Science and Engineering",8.6,MIT-WPU,"Aarohan is conducted in Jan or Feb mostly. There are many tech fests conducted like Nirmette, Vasundhara, etc. by the various clubs in college all year around. The MIT Library is HUGE. It has everything one could possibly ask for. Classrooms are well maintained. Sports and extracurriculars are fully supported. Many clubs are run by students, like Vega pod, Ninox Nature Club, etc.",
Bhavesh kalal,Christian Medical College - [CMC],"B.Sc (Nursing), Nursing",9.0,My college period in Vellore college,"Campus is good in terms of facilities. There are well-defined roads and proper buildings. Wi-Fi facilities are available all over the campus and hostel. Library facilities are provided to students on the SADTM campus, and students can read books till 5 PM in the afternoon. Classrooms are beautiful and well-maintained. Mess food is of the hotel standard, and the head chef is Mr Prateek, who cooks great food. Sports facilities available are volleyball, football, Kho-Kho, badminton, etc. Badminton court is provided in the hostel.",
Rajat Raghav,MNNIT Allahabad - Motilal Nehru National Institute of Technology - [MNNIT],"B.Tech, Mechanical Engineering",9.7,Mnnit Allahabad The place for gems,"The infrastructure is nice. During the lockdown period, there is a lot of work on the infrastructure. There are a lot of different categories divided into different departments which help in learning. Wi-Fi is enabled on campus, which is good, but only enough for studying. Please utilize these things to increase students' knowledge, not for bad habits. The quality of mess food is average, neither very good nor very bad. The canteen is fine. The medical facility is good for general fevers and colds. But the facility available for sports and games is nice and has beautiful clear grounds. Students love that part because it is important for our health.",
Nikhil,Chandigarh University - [CU],"BE, Computer Science And Engineering",8.2,DEEP FACTS ABOUT CU,"Our course curriculum is really good.
It is a fusion of curriculums of NITs and IITs and is very much relevant to the course and also helps in making as industry-ready.
Teachers are highly qualified and have a different but great way of teaching, focusing more on practical knowledge rather than theoretical.
every semester there are 2 mid-term exams, 2 practical exams and 1 end sem exam.
exams are conceptually based so the one who studies can do it easily.",
Martin christian,Apollo Institute Of Engineering and Technology,"BE, Information Technology",4.5,Apollo college is very poor,"I chose this course because I want to be a software engineer and I also have an interest in cyber security, web development, and Android development.
Faculty is good in teaching but some faculty is not good student ratio is high in computer engineering and IT engineering.
Our college faculty is highly qualified some of our faculty have PhD or MTech or M.Ed. they are teaching very well they give best notes for preparation for University exams.
Every semester they take 2 exams at midterm (1 in 4 months and the next month at mid2) and then a university exam. The term exams are a little easier by reading the notes provided by the faculty. You can easily pass the term exams.",
PITTA UMESHREDDY,Jawaharlal Nehru Technological University - [JNTUK],"B.Tech, Electronics & Communication Engineering",7.2,Good,"All the students here studying are paying the same fee of Rs. 10,000 per year, and if they have reservations, they don't need to pay the tuition fee. Only the hostel fee needs to be paid. Many of the students have different types of reservations, and some of them get scholarships also.",
Chandra Bhushan,Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology - [Vel Tech],"B.Tech, Electrical And Electronics Engineering",8.8,Placement,"I chose this course because I want to work as an electrical engineer. As the students are in our class it is easier to grasp all the things faculty discussions and lectures.
Faculty qualification is good everyone is holding at least one master's degree.",
Ayush kumar keshri,National Institute of Technology - [NIT],,8.0,placement oriented college,"the most impressive reason behind choosing this course is the placement, the placement of ECE at NIT Jsr is above the mark and increasing by the year.
the faculty-student ratio is good and all faculties are PhD from IITs and NIT, they are humble and focus on the overall improvement of students.
the term exams are always on time and the difficulty level of questions is very high so it is very difficult to pass the exam.",
Arijit Singha,ICFAI University,"B.Tech, Computer Science and Engineering",6.5,It was good really good,"For freshers, there is a fest called Novatos which is conducted in the month of November. And there is another fest called ICARI which is one of the biggest fests in the North-East and is conducted in the month of January or February. All kinds of books are available in the library. Many sports are there like football, cricket, chess, volleyball, basketball, badminton and many more. Many social groups are also there.",
Dhanush U,REVA University,"B.Tech, Computer Science and Engineering",7.9,All about Reva,"In our college, we have got 100% placements for CSE courses. 23LPA was the highest package offered for the CSE course. 6LPA was the average package offered for the CSE course. 4.5LPA was the lowest package offered for the CSE course. Top recruiters are  NVIDIA, Deloitte, Infosys, Amazon, IBM, and TCS.
Almost 95% of students got internships from my course, and the top companies were Amazon, IBM, NVIDIA, and Infosys. The top roles offered in our course are data and risk analysis and software. Reva University: Best Infrastructure. Placements: Computer Science Engineering has really good placements.
After a degree obviously going to a job.",
V sharada,"Vignan's Foundation for Science, Technology, and Research","B.Tech, Bioinformatics",8.2,Bioinformatics in vignan,"Each and every student here has to go either to an internship or to do project work in the 8th semester. Recently a third-year student internship in Singapore I don't the particular details. Likewise, there are so many students who get to join their desired fields. Each project has at least 3 reviews from our faculty and from external. recently we have done a project on pharmacology which is related to drug design.",
Kartikey Verma,Sardar Vallabh Bhai Patel University of Agriculture and Technology,"B.V.Sc, Animal Husbandry",9.0,"Life of a Veterinary Student at SVPUAT, Meerut, Uttar Pradesh","I chose this course, i.e. Veterinary Sciences, because I was keenly interested in the research areas in animal biology right from my formative years. I gained inspiration from my father and his colleagues who worked as research scientists at ICAR ( Indian Council of Agricultural Research).
The faculty-student ratio is good, everything is according to the rules laid down by the government, as it is a state government institution.
All the faculties of our college are doctors and PhD degree holders.
The teaching method includes marker-whiteboards, projectors and learning by observation of the specimen.
As of now, according to MSVE-2016, the schedule is annual, which includes three internal assessments and one external assessment at the end of each year.
The duration of the course is 5.5 years, which includes one year of internship.
Since it is a professional course, the subjects are not easy, and a consistent amount of hard work is required to retain the acquired knowledge and pass.",
NAKKALA PRANAY KUMAR REDDY,Narsimha Reddy Engineering College - [NRCM],"B.Tech, Computer Science and Engineering",9.8,SATISFIED WITH THE GOOD PLACEMENTS,The annual fest name is Avishkarana 2k22 and tech also will be conducted every year of may availability of books and journals are available in the library on the occasion of children's day and teachers day sports and extracurricular activities were done @narshimareddyengineering college is our web,
Ajith huggi Huggi,REVA University,"B.Tech, Computer Science and Engineering",9.0,Reva university is best,"In the present generation every single work on technology. And it becomes wide use across the world. And without the technology, we can't work as sufficient as we want to work. So to work in the technology field I have chosen in this field.",
Prasanth,Raghu Engineering College - [REC],"B.Tech, Electronics & Communication Engineering",4.2,Best college,My branch is electronics and communication engineering and our faculty is good in the first and second years when it comes to the third year some of the faculty is good and some are ok but not upto the mark. According to academics courses Raghu is the best and placements are well after the completion of the fourth year you must get the job.,
Polu vishnu raj,Marri Laxman Reddy Institute of Technology & Management - [MLRITM],"B.Tech, Electronics & Communication Engineering",10.0,Raj's review,"I chose this course because I want to study hardware and software and I need to experience in the bath and I want to become a hardware developer by using software programs so I chose this course. The faculty members are nearly 400 members in our college and they divided account to the course and we have nearly 50 faculty members to train has in subjects and labs and the number of students in the college is nearly 4000
The qualification of the faculty is phd and well experienced in teaching nearly 5-10 years of experience in their subjects
Exams were conducted according to the curriculum of the university. And our college has separate terms like examination branch look after examination in the college. They conducted hardly by preparing papers in the form of 4 sets each student gets one separate paper. Nothing is difficult if we perpare here our faculty provides good and quality material so everyone passes with good marks",
Gourav,Maharaja Surajmal Institute of Technology - [MSIT],"B.Tech, Computer Science and Engineering",6.3,Good crowd,"Fees are 135000 yearly out of which 118000 is the tuition fee and the remaining is for other purposes.
You can apply for the scholarship in the e-district by the Delhi government depending on your financial condition they will grant you upto 100% scholarship on tuition fees. For scholarships, you should keep checking notices in student welfare section on ipu website. Notification for scholarship releases around April - May. For applying register on e-district and then apply for merit based scholarship this scholarship is for everyone (gen, obc, sc) you have to submit income certificate and some other educational documents.",
Kasireddy chetan kumar,Raghu Institute of Technology - [RIT],"B.Tech, Electronics & Communication Engineering",8.4,My college life,The annual fest is conducted in our college. there is a lot of journal and books related to the course subject available in our library. Sports clubs are maintained in our college to encourage students. RAGHU INSTITUTE OF TECHNOLOGY Toastmaster group is run by students.,
VISHAL SAINI,Jaipur Engineering College and Research Centre,"B.Tech, Computer Science and Engineering",7.0,EXPERT REVIEW,"Our annual fest is Rennaisance which is said to be the second biggest fest in Rajasthan after bits Pilani's fest. In this fest, various colleges participate throughout Rajasthan. Overall it is a very fun experience to be a part of this. We can get books for almost all courses in the library. I personally prefer issuing books from the library only. Our classrooms are spacious enough but they are like heaters in the summer season. This makes it very unpleasant to attain classes in summer. Else everything is good. There are various clubs for social, technical, games almost for everything. You just name it and we have. I can say our college clubs are the best thing about our college. You might not learn that much in the classes as much as you can learn in these clubs and we have the best clubs literally.",
Prabal Pratap Singh,Lloyd Business School -[LBS],"PGDM, Business Analytics",8.7,Best college for PGDM in Business analytics,"Lloyd has two campuses both are beautiful and well maintained, classrooms are airconditioned neat and clean and the library is properly disciplined 
with large stocks of books. the campus is wi-fi enabled, we have two seminar halls, basketball court, a big ground to play outdoor sports and yoga room facility with yoga instructor we have also different clubs in our college lead by club leaders we organised different types of activities in it, we have CCD and two more canteens in our college premises.",
Akshay Dhananjay Awasthi,Marathwada Mitra Mandal's College of Engineering - [MMCOE] Karvenagar,"BE, Electrical Engineering",7.7,The best college to engineering,"The annual function is called Ensemble. The ensemble always takes place in the months of March and April. The library at the college is pretty large enough. It has books that are required. The classroom has a PC and a projector, along with the white boards. The sports department at the college consists of different sports. The NCC camp is where students participate.",
Nitika Yadav,Chandigarh University - [CU],"BE, Computer Science And Engineering",7.2,"Great placements, good faculty and infrastructure.","Students can join a variety of clubs, including those for music, dance, theatre, singing, sports and more. They also get a chance to participate in fests.
Chandigarh University holds a variety of fests and during the fests, a lot of celebrities also visit the university. The college celebrations and events held on the campus are glitzy and entertaining.",
Mahadeva D,PES College of Engineering - [PESCE],"BE, Information Science & Engineering",7.8,My college review,Fee Structure is depends on the entrance exam a candidate came through. For kcet students fee is around 1lakh per year and for comedy candidates it is around two lakhs per year and the Karnataka students also gets concession and scholarship from the government.,
Chandra sai,Chaitanya (Deemed to be University),"B.Tech, Computer Science and Engineering",9.0,Chaitanya college,I have taken computer science and engineering in b.tech. I loved to learn about computer languages and more about computers. We can approach the faculty for any doubt. The faculty is where friendly with the students. They teach us in a simplifying manner. We can get easily pass the exams conducted by the college and more.,
Ravi,Lyallpur Khalsa College - [LKC],"B.Com {Hons.}, General",9.0,My college is best from all perspectives.,"The infrastructure of the college is so good. There are many facilities like Air conditioners, drinking water, clean washrooms, and about five labs. There is a great availability of course-related books in the library. There is no need to buy books from the library. The annual fest and the tech fest cast tech symphonic are also celebrated with a full contribution. There are social media pages also created by students for their welfare.",
Ashirwad Mishra,Shri Govindram Seksaria Institute of Technology and Science- [SGSITS],"BE, Mechanical Engineering",8.0,"One of the top college is central India, for which you can go for.",The placement has been great for the 2022 batch. The average package was 7 LPA. The highest off-campus placement was 64 LPA(CSE) and on campus was 44 LPA(CSE and EE) Lowest was 4 LPA. More than 90% of eligible students were placed. One can get an Internship with a Pre-placement offer from the 5th semester and campus placement from the 7th semester. I will be going for campus placement.,
Saurav Kumar,Swami Vivekanand Subharti University - [SVSU],"B.Tech, Electrical And Electronics Engineering",10.0,For Good Campus and Green Campus,"The fee structure is nearly 135000 per year. SNET is the scholarship exam conducted for all students.
Also Bihar Student Credits Scheme is available for Bihar students. It's quite helpful for them to get higher qualifications. Campus with stipend is nearly 350000 per year.",
Mahika,Chandigarh University - [CU],"BE, Computer Science And Engineering",9.2,Chandigarh University - Hub of Opportunities,"Famous for its fest and tech invents, there is a yearly CU Fest and national-level tech fest every year which join hundreds and thousands of students together and provides an immense level of opportunity to them. 
Talking about books, there are libraries in every block and every needed book and journal are provided to us. College is also providing an e-library which also holds a huge number of readable. 
University holds its own sports complex in a very large area and has every sport. 
I have been part of a student organization ""Z student CU"" Powered by IBM and run by the students of our university. There are many other organizations catering to every interest out there.",
Nikhil Gannavaram,TKR College of Engineering and Technology - [TKRCET],"B.Tech, Computer Science and Engineering",8.6,Truth about TKR,"The fees for the 4 years are constant. There is no hike for fees in the middle of the academic year, in the first year only the four years fees will be informed. For every Eamcet qualified student, The government will give scholarships up to 35000 per every annual year The remaining should be paid by the student. For Sc/St the total fees will be paid by the government. The management students have to pay the total fee by themself.",
Kartik,Acropolis Faculty of Management and Research - [AFMR],"MBA, Finance",7.6,Acropolis- A Good Choice for MBA at Indore,"The placement is very good as the placement head of the department is Mr. Atul Bharat Sir who is well known for giving placements to all the students in the college. From the 3rd semester itself, the students are eligible for campus placements.
Various renowned companies such as Paytm, Bajaj Finserv, Infosys, TCS, Cisco, Byjus, IIFL, etc came to the college to give college placements and offered a decent amount of packages to the deserved students.
The average package of all the companies is around 3.5-4.5 lakhs per annum while the highest which only 1 person got was 10 lakh Per annum in Byjus as an Assistant Sales Manager in the company.
The percentage of students getting placement is around 80 percent.
After getting the MBA degree in Finance and IT, and getting a good placement by the college I am planning to do the job for 2-3 years and move to the USA as my elder brother works there and I wanted to do a cyber security course which I have interest in and can do a part-time job there too.",
Jatin Dadwal,Rajiv Gandhi govt. Engineering college -[RGGEC],"B.Tech, Civil Engineering",7.8,Review of Rajiv Gandhi Government engineering College,"Fee Structure - for boys - 28000/sem 
                           For girls - 14000/sem 
The cost of study in our college is normal.
As such, there is no such scholarship provided by our college.
You can take an education loan from the bank if you want to basically it is a govt college and getting a loan from the bank is very easy.",
CHETAN,Chandigarh University - [CU],"BE, Computer Science And Engineering",7.3,Good University with good placement history,Placements are average. The highest package offered according to Chandigarh University is 1.7 crore which a student of the CSE branch got recently. Students get job opportunities starting from the 5th semester. Companies like Google and Microsoft do visit here. After completing your degree you can give a gate exam for a good job opportunity.,
Katyayani Rai,College of Innovative Management & Sciences - [CIMS],,7.8,It all good,"I am mainly after the Bachelor of business administration course from the college of innovative Management and science which is the branch of IMRT business School. The speculative members and teachers teaching in this college are well qualified and their teaching method is very easy to understand.
They will take the semester exam of the students in which 10 long question comes and you have to attempt any five long questions of your choice",
OMKAR SRIVASTAV,Deen Dayal Upadhyaya Gorakhpur University - [DDU],"BA, Political Science",9.0,I like this campus in every matters,"The fee is very less on this campus. In the first year we pay Rs.2592 the second year we pay Rs.2277 and in the third year, we pay Rs.2777 so if we see there is no hike in fee overall. The total cost to study this course is Rs.50000 approx. including hostel charges. Saksham and Inspire are the names of two scholarship programs offered by state and central govt respectively. Financial assistance is provided for the high-paid courses.",
Student (Anonymous),IPS Academy,"B.Com, Computer Applications",7.5,IPS ACADEMY - Best college for being Social And having an Exposure.,"There was an annual feast named ""flames and blossoms"" where there was a dance activity for all the students where everybody can showcase their talents and enjoy. It was conducted in the month of July.
Talking about the library, it is very good and big and consists of various books in all categories and all students and can issue it on weekly basis.
Every classroom consists of Air-conditioner and fans with a blackboard and 40-50 benches and enough lights with 2-3 windows which makes a good environment to study in.
Sports Activities are very encouraged in the college. There are many sports including volleyball, cricket, football, etc with a particular ground and coaching staff for it.",
Dhruva Chandra Prajapati,National Institute of Technology - [NITK],,8.8,Internship opportunities are average,"I chose this course because of jee main score. Good faculty and student ratio are there. Most of the faculties are Ph.D. holders from top universities like IITs or top universities in foreign. The teaching method depends on the professors. Some professors teach really very well but some are like in every college. 
U can pass easily but for a descent cgpa like 9+, you have to study hard.",
Banka Rakesh Patrudu,Lovely Professional University - [LPU],"B.Tech, Electronics & Communication Engineering",10.0,LPU is the best place to get placements,"The fee, which will be fixed at the course start, will remain the same till the end of the course. During my admission, I got a scholarship of 40%. So, I need to pay a fee of 54,000/-per semester. This will be the same for all 4 of my years, and in addition, there will be an examination fee which we need to pay for every semester.",
RAUSHAN KUMAR PASWAN,Maharishi Markandeshwar - [MMU],"B.Tech, Computer Science and Engineering",9.0,My university is accredited by NAAC grade A++.,"There are many annual fests and tech fests organized at this university. All required books are available in the library. The amenities in the classrooms are very good. There is a sports complex at this university in which all the necessary things are available. The social groups for the students run by students are GDS, Codex, etc.",
Sai Leela Sushma Gorsa,Anil Neerukonda Institute of Technology & Sciences - [ANITS],"BE, Computer Science And Engineering",8.2,College Review,"The annual fest will be conducted in the month of February or March, and the tech fest will be started in the month of February and continue till March. In our college we have fests department wise. Each department will be celebrating their own fests and it will be a 2-day fest. The first day is a technology festival, and the second is a cultural festival. We celebrate very nicely these days. Coming to the library details, we can find each and every book we need and even the journals also. The classrooms will also be neat and clean with all the facilities like dustbins etc. We will be having sports week once a year in the month of January. We can play whatever games we need in that week. And there are manga clubs and social groups also which are managed by the students.",
Utkarsh,National Institute of Technology - [NITP],"B.Tech, Computer Science and Engineering",7.0,My review about NIT Patna,"After the 6th semester, students become eligible for campus placements. Many big companies, like Amazon, Adobe, etc., It comes every year and offers a nice package to eligible students. Every year, nearly 50 companies pay a visit. CSE students got the maximum package and offers here, followed by ECE. The highest package in the 2021 year was 1.60 crore, which was an off-campus placement, but when we talk about on-campus placement, the maximum package was also 42 lakhs. The average salary is ten lakhs. Almost all CSE students got placed this year. The CSE and ECE placements are really excellent here. But there are few placements in core branches.",
Student (Anonymous),Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,"BE, Computer Science And Engineering",9.8,A DETAIL REVIEW OF VELTECH COLLEGE,"From the 5th semester onwards they eligible for campus placements
Infosys, TCS, Accenture, and Zoho, etc.. nearly 1445 students got offers
The highest package is 25 lakhs got this year placed at Amazon and the average is 4.45 lakhs per annum
86 percentage students getting placed
I want to study MTech",
Satti Ram prasad reddy,Narsimha Reddy Engineering College - [NRCM],"B.Tech, Computer Science and Engineering",10.0,Satisfied with placement and faclity,The annual fest name is avishkarana 2k22and tech also will be conducted in every year of may the availability of books and journals are available in the library on the occasion of children's day and teachers day sports and extra curricular activities were done @narshima reddy engineering college is our website,
wijaya pawane,Vignana Bharathi Institute of Technology - [VBIT],"B.Tech, Cyber Security",7.2,College Reality,From 3rd-year ll sem students become eligible for campus placements. There are many numbers companies which visit our college for placements. The highest package is 12-20 lakhs per annum and the average package is 3-5 lakhs per annum as per company and profiles offered. The percentage of students getting placements is 60%-75%. My plan after getting the degree is to do higher studies abroad.,
Vinay,Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology - [Vel Tech],"B.Tech, Computer Science and Engineering",7.7,Veltech fasak,"Here it is best so I chose it. Everyone has a mentor who will look after them, faculty are highly qualified, term exams are getting 1 month one after another if you study you can pass easily
They will provide pdf, notes for our reference, they  will teach everything which is needed for us, you can get basics easily",
Srinivas,Vignan's Institute of Information Technology - [VIIT],"B.Tech, Civil Engineering",8.8,General information of college,"Because I have more interest in the construction side and not only construction it is useful to placement on the coding side also
 Qualification of faculty is some are M.Tech and Ph.D
Exams are easily passed because the teaching is so good and well",
Beauty,Miranda House,,8.3,DU is best,"I choose this course because of my interest 
There is a large no. Of students in faculty as the subjects are very interesting and also it gives an interest towards civil services so students get more interest through this reason also as I'm
And qualification for faculty is all about the college cutoff 
The teaching process is quite good 
After 5 months from starting of the session exams were held and quite difficult to pass",
Aravind,Kakatiya University College of Engineering and Technology -[KUCE&T],"B.Tech, Electronics & Communication Engineering",9.0,Superb college excellent studies,"Placements in the college are only off-campus drives for students. It is developing in our college on the off-campus placements our friends got so many jobs like in Wipro, TCS, Infosys, etc., the highest package is 12LPA.",
Student (Anonymous),Sree Vidyanikethan Engineering College - [SVEC],"B.Tech, Information Technology",8.7,Sree vidyanikethan:- the Eden of engineering college,"Here for each branch, there will be an association respectively. they will conduct both technical and nontechnical fests. along with that, there will be the annual day on our chairman's birthday. and there will be 3-day vests which are best celebrating days of our college in September.
The library, it's the center of attraction of our college. and also it's the 6th largest library in Asia.",
Student (Anonymous),"CVR College of Engineering, Ibrahimpatnam","B.Tech, Information Technology",7.4,CVR COLLEGE,"I chose this information technology course because I am interested. And it has a good scope in future.
Our college maintains a good faculty: student ratio. The faculty is very experienced in teaching. Few of them are professors and many of them are asst. professors with a lot of experience. Every faculty did a master's and some of them did Ph.D.
The method of teaching is very good as the uses of projectors, and real-life examples in classes for better understanding to make the student involved in the topic.
Mid Exams were held every 45 days. And it was difficult to pass.",
Manisairishik,Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology - [Vel Tech],"B.Tech {Lateral}, Computer Science & Engineering",10.0,Best college review,"I'm taking the course wat BTECH CSE 
In that artificial intelligence &machine learning 
This course is very good 
And that stuff was very good 
Explaining subject as of our like
Every 1 month there has one test and we have to pass that test",
Nikhil,Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology - [Vel Tech],"B.Tech, Computer Science and Engineering",8.0,Good,"In this college, we have 3phases of exams.
In this 1st phase, the fee is normal. 
In the 2nd phase, the fee is an extra 10k.
In 3rd phase, the fee is an extra 20k
In the entrance exam, if you get below 500 ranks you get a 75% scholarship. 
If you get below 1.5k rank you get a 50% scholarship",
SUBHAM SARANGI,Siddharth University,"BA, Hindi",8.7,Take my review before you go to take admission,The annual fest is happened in mid of my library are full with books of academic and nonacademic books amenity in the classroom are very high sport and extracurricular activities are also available on the campus mini student-run they are social group clubs and a website my some friend also run their NGO which help people and some many students have their group that provides help to the student that is taking admission in this college,
Suraj Patwa,Madan Mohan Malaviya University of Technology - [MMMUT],"B.Tech, Chemical Engineering",9.0,Chemical engineering Review,"Placements in My college are good enough for the Chemical engineering department.
In the year 2022 approx 30 out of 75 get placed in the highest package of 39 LPA recently.
Students are also hardworking and dedicated towards their goals and grab the opportunity as soon as possible.",
Penmetsa sanjana,Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology - [Vel Tech],"B.Tech, Computer Science and Engineering",10.0,Best review ever,"We can explore a wide variety of nature and the world here, we can learn how to lead life by our own doings, we may see our inner mind and we can see how versatile we are here we can prove ourselves here, we may explore ourselves as this college offers so many extra curricular activities to the students which help in making their personality grow.",
Anu Radha,Nalanda Degree College,,9.5,Me and my college,The qualification of lecturers was undoubtedly good. As I am interested in computer science I opted for this course. Exams were held after the completion of half syllabus and that was not too difficult to study or pass.,
Pasupuleti Suswan,Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology - [Vel Tech],,10.0,Veltech University is best among all universities in Chennai,I chose this course for a software engineering job I had a dream to get a job in a software engineering company and coming to faculty they are doing their job perfect and nice explanations in-class exams are also going in a good manner.,
Anumula sai kiran,Malla Reddy University - [MRU],"B.Tech, Computer Science and Engineering",10.0,Satisfied with placements,"The annual fest name is avishkarana 2k22and
Tech also will be conducted in every year of may the availability of books and journals are available in the library on the occasion of children's day and teachers day sports and extra curricular activities were done @ Malla reddy university our web site.",
Student (Anonymous),Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology - [VNR VJIET],"B.Tech, Civil Engineering",9.0,Vnr vijet,"The college conducts many fests including technical and non-technical. Sintillahunz is the best cultural fest in Hyderabad. Convergence is a technical fest of Vnrvjiet. Not only are these many project expo fests but Hackathons are also conducted. The college has a library for academics, not only for that but also for novels available. Every classroom has its own projector each block has its own WiFi enough benches. for sports, there is a separate Block constructed for every sport along with a gym, and billiards.LIVEWIRE, CRESCENDO, STUDENT FORCE, NSS, VJ THEATRE etc are clubs of vnrvjiet.",
Arnav Raj,NIT Silchar,"B.Tech, Computer Science and Engineering",8.8,MY GREENISH COLLEGE,"Life in our college is like a vacation. Completely greenish campus, naturally friendly, big in the area ( 625 acres ), and full of resources. In our college, there are many opportunities to explore ourselves. The college organizes many fests, sports, & extracurricular activities. Two big fests of our college are TECNOSIS and POSUA. TECHNOSIS is celebrated in the month of October, this fests bring many opportunities like-technical skills, coding round, web development,robotics, machine learning, etc. Annual fests are FAREWELL and FRESHER'S PARTY. Asia's biggest library is inside our campus, which contains more than 5 lack books even if it's a digital library. Classes are comfortable and attractive, labs are provided. Sports competition is conducted like-cricket tournament, football, basketball, badminton,kho kho, etc. There are many groups and societies like CSS, GITHUB, GDSC, GYMKHANA UNION GROUP, etc.  Clubs of my college are GYANSAGAR,ECHO CLUB,MUSIC CLUB,TRADING CLUB,SPORTS CLUB A,etc.",
Ganta Niranjan,Andhra Loyola College - [ALC],"B.Sc, Analytics & Big Data",9.8,A beautiful college in Vijayawada,"I want to learn something about the computer old I want to learn the computer things I want the future generation of the computer I want to become a software employee.
Student-faculty ratios are very good they have interacted very simply and the friends they are in attracting with us are good in this but very proud to say that they are very helpful to us.
They are well qualified they complete their masters and the teaching method was very good.
Term exams are a little bit difficult but everyone can pass with the good level of basic studies.",
Pranay Kumar kotagiri,Narsimha Reddy Engineering College - [NRCM],"B.Tech, Computer Science and Engineering",10.0,SATISFIED WITH THE PLACEMENTS,"The annual fest name is avishkarana 2k22and
tech also will be conducted every year of may the availability of books and journals are available in the library on the occasion of children's day and teachers day sports and extracurricular activities were done @narshimareddyengineering college is our website",
