Name,College,Degree_Branch,Ratings,Heading,Review
Avinash,Vishnu Institute of Technology - [VIT],"B.Tech, Mechanical Engineering",8.8,Life in vishnu,"Students studying 4-1 are mostly highly eligible for campus placement
The highest package is around 44LPA
90% OF STUDENTS ARE PLACED
getting a good placement and leaving the college is my plan after getting the degree"
Akshit Pareek,Netaji Subhas University of Technology - [NSUT],,5.4,"NSUT, Delhi","The placements at our college are definitely almost the best in the country.
After the end of the 6th semester, you become eligible to sit in the placements.
The highest package offered was 83lpa CTC, by Atlassian, the lowest can go to 5lpa CTC.
Avg for computer sciens5should be around 20lpa, while for the college around 12 LPA 
All the eligible students always get placed.
Best companies in India visit NSUT for placements, however, a lot of students decide to pursue higher studies as well."
Devam Patel,SAL Institute of Technology and Engineering Research - [SITER],"BE, Computer Engineering",10.0,1sem Students Review,"CE is a very good course which help me in future for a job that's why I choose this course.
Faculty are also good 
The faculty-student ratio is the same
The teaching method is superb
Exam conducted at regular interval
The final exam of each sem is conducted by GTU which is difficult if you can't study regularly"
Bagala Gowtham Narasimha,Vignana Bharathi Institute of Technology - [VBIT],"B.Tech, Electronics & Communication Engineering",7.5,Review on VBIT,"I have chosen the course electronic and communication engineering because I can improve my brief knowledge of hardware and software. I have chosen the course for the government job. So, I can move for private or government jobs easily. The faculty, they are good experience in teaching the core subjects of electronics and different communications. The way of teaching faculty is extraordinary. But it is difficult to pass the subjects. We have to focus on the mathematical term, theory, expression etc"
Rishabh Nahriya,Netaji Subhas University of Technology - [NSUT],"B.Tech, Electrical Engineering",7.5,College was fine,I am in the electrical engineering branch at Netaji Subhas university of technology. The faculty members or teachers are good but some subject teachers are very rude. I choose this course because I have an interest in the electrical and electronics field.
Shashwat kumar,United College of Engineering & Research - [UCER],"B.Tech, Electronics & Communication Engineering",9.0,Mera desh mera college,"According to me, the curriculum is good but it's a little bit longer to be covered in one semester. Although the faculty members are fully enthusiastic and are with the students. 
Faculty members are all gate qualified and many have already done PHD.
In the ECE department, there are 15 faculty members and over 50 students which I think is more than sufficient. 
Our curriculum is designed such that the students have to study thoroughly and so as the exams."
Varu Solanki,Netaji Subhas University of Technology - [NSUT],"B.Tech, Artificial Intelligence",6.0,Internship opportunities,"My course is computer science engineering and according to its placement I selected this course because I am interested too much in it main faculty and guest faculty both are there. Hod and top faculty are best in their qualification and also guest faculty are passed from IIT and have MTech and PhD. Course Fees: INR 210000 per year. Internship opportunities are available on campus but there is a thing for boys and girls both are different a girl can get internships easily but for a boy, it's too difficult to on campus you have to be petty good at coding and with a GPA of 9 +. So about the fee, I would like to say it's a bit costly as other govt colleges are much more cost-effective but this JAC Delhi college is not. college + hostel+mess for my course is 12-13 lakh for 4 years which is costly and for scholarships, there is one merit-based that is available for everyone."
SHAIK NAGUR VALI,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],"B.Tech, Computer Science and Engineering",7.8,Siddartha Statement,"The Curriculum is good and based upon current trends in the market & all the faculty members are highly qualified has completed their master's & PhD in their selective fields. I opted for this course because computers can rule the world in future so I want to be a part of the rulers. Yes, the teacher's explanation is good. Yes, every month there is an exam which can be an assessment of the term exam and it's a little bit difficult."
UPPALA RAJESH KUMAR,NS Raju Institute of Technology - [NSRIT],"B.Tech, Computer Science and Engineering",8.2,Nsrit - good for join and get a placement,"I choose this course of CSE is I interested in computers side so I chose and the faculty in my college is very good and they teach very well, the student ratio is in one class there are approximately 70 students the qualification of the faculty is a doctorate, MBA and higher, and I give 9/10 for the teaching review, in a year there are different type of exams and I think it's some difficult to pass the exams when we not study"
Student (Anonymous),KLE Technological University,"BE, Electronics & Communication Engineering",9.2,The Elite,"I must say it is one of the best universities.
The reason to choose this course: E&C is one of the best branches because if you compare it with other branches some branches teach only about programming they don't have any hardware knowledge, and some branches teach only about hardware. But in e&c you will learn both programs as well as hardware.
In this college you will get one of the best faculties, best in the sense they too supportive and encourage you to do something great,
The faculty-student ratio may be for every 10 to 15 students one faculty is there.
Most of the faculties have the PhD degrees with a great experience.
After every 1 and a half months, there will be an exam i.e internals, there total of 2 internals and an end sem exam.
It is not too difficult to pass the exam but yes questions will be completely application based, but a student can pass easily."
