Name,College,Degree_Branch,Ratings,Heading,Review
Sujeet,Indian Institute of Management - [IIMBG],"MBA, General",9.5,IIM Bodh Gaya- Two years in a nutshell,"There are close to 25 clubs and committees in total. Every year the students conduct our annual fest called Elegante. Apart from it, we conduct our flagship Entrepreneurial event called YES. There is a rich sports culture in the college. The library is well equipped with the maximum resources you'd require."
Ahmed,St. Joseph’s Degree College,"B.Sc, Mathematics",8.2,overall the given data is good and true account to my best of knowledge,"From 6th to join a decent company with a high package of the semester students become eligible for campus placements, the Big companies which visit our college is TCS, Wipro, etc. The Average package is 156000 and the highest package is 800000 in our college percentage of students getting placements is 75% and my plans after getting the degree are to join a decent company with a high package."
Harminder singh,Sant Baba Bhag Singh University - [SBBSU],"BCA, General",6.0,This university is best all courses,"Scholarship by SBBSU
Scholarships scheme II-For 2500 Differently abled students
Apply online for scholarship for differently abled
Scholarship Schemes
Scholarship:
Meritorious Scholarship
Single Girl Child Scholarship
Scholarship for Parentless Students
Sibling Scholarship
Scholarship for Students of Sister Institutes
Post Matric Scholarship Scheme to SC/ST Students
Scholarship for Wards of Employee
Scholarship Ward of ex-servicemen
Meritorious Student for 2nd semester onwards:Sant Baba Bhag Singh University Scholarships and Funding
Scholarship 1
Meritorious Scholarship:
95% and above - 100% Scholarship applicable at the time of admission.
90.1% to 95% - 50% Scholarship applicable at the time of admission.
80.1% to 90% - 35% Scholarship applicable at the time of admission.
70.1% to 80% - 25% Scholarship applicable at the time of admission.

Scholarship 2
Scholarship for Parentless Students:
100% Scholarship - Subject to condition that student have to produce death certificate of both santbababhagsinghuniversity"
Sunidhi Kumari,National Institute of Technology - [NIT],"B.Tech, Chemical Engineering",8.5,College gives opportunities we have to grab it,Our college's annual fest is Recrave which is a food fest conducted in November and Recstacy which is a cultural fest conducted in April. One tech fest is conducted in February named AAROHAN. Books are available in the library as per need. There is a sports competition organised every year on campus as well also in other colleges. NSS conducts extracurricular activities. There are many clubs run by students
Komal rana,Institute of Hotel Management Catering and Nutrition - [IHM],"Diploma, Food Production",6.5,The direction,The fees are quite affordable and good plus there is also reliability for the Sc students and there are some courses called Hunar se Rozgar for the students who cannot afford the fees. the application form fees are 300 for gen and 150 for sc and st
PRAJWAL JAMANADAS CHANDAK,"Sydenham Institute of Management Studies, Research & Entrepreneurship Education - [SIMSREE]",,7.4,Sydenham - Best ROI institute for MBA,"The Annual fest is SIMERGENCE - a 3-day annual event in February comprising of management, sports, and cultural competitions. An annual sports competition is also there for 3 days (December). You get to learn how to organize and conduct these events which improves your team and management skills.
An amazing collection of books and journals in the library. 2 years will be less to go through the best books. I emphasize to make the best use of it. I still miss my library the most.
The  Classrooms are well-equipped with Screens and projectors, well-maintained sitting chairs, and air conditioning.
There are in total 10 different clubs and committees conducting various events throughout the year. You can find more details on the college website."
Ayushman Singh,Indian Institute of Information Technology - [IIIT],"B.Tech, Data Science and Artificial Intelligence",8.3,Full review of IIIT ranchi,"the college had its first teck fest and annual fest this year(2023) in the month of April.
the college has a central library where you can study till 10:00 PM.
the classrooms have AC and protectors which are regularly used by the faculty to make the class interactive.
the college has plenty of space for sports and extracurricular activities, the college also has teams that take part in inter-IIIT sports meets.
there are many clubs in the college which are under the student council which are very active. they have clubs for sports, tech and literature"
Nishant,Indian Institute of Information Technology - [IIIT],"B.Tech, Data Science and Artificial Intelligence",9.0,Good,"College life at IIIT RANCHI is super cool. For the first time, our college conducted a fest named EPHEMERE 2K23. Also. many hackathons conducted by the college. There is also a library in the academic building where you find all types of books related to your course. Our classrooms are also very good as there is AC in classrooms, whiteboard with projector. Smart classes are also available in an academic building. Wi-Fi is also available in academic buildings. And apart from this, there is one common room for students with big TV, where students can chill and do other stuff. There are also sports facilities in our college like badminton, basketball, volleyball, table tennis, cricket, etc. There is also one lecture on extracurricular activities in a week. There are many societies run by students like Robotics, ML & AI, IoT, Cybersecurity, Blockchain, etc. Also, there are many clubs for dance, singing, art and craft, social media, etc."
AYUSH SHAURYA JHA,Indian Institute of Information Technology - [IIIT],"B.Tech, Data Science and Artificial Intelligence",10.0,IIIT Ranchi Actual review,"At the end third year, students get Eligible for campus placements. The package is equivalent to and even better than top NIT's and 10-12 IITs. There is 100% placement from top branches and about 98% from other branches. Companies visiting are Amazon, Google, Microsoft, Atlassian , Goldman Sachs, synopsis, and other top tech companies. It's not like IIT here has lower branches with the worst placement scene and just giving students a tag of IIT. Our college has the highest package of 83.36 LPA and the average package as of now is around 20 LPA for my branch. It is around 17 LPA overall and the lowest package is 7.5 LPA which is more than the average of the lower branches of some IITs."
Pratik Morya,Indira Gandhi National Open University - [IGNOU],"BCA, General",7.7,My life in ignou,They provide books and supporting material for exam study and provide online classes sent by email they don't allow to take classes in the classroom only practicals are allowed and no sports are allowed in the institute
Narain madhav,Sant Longowal Institute of Engineering and Technology - [SLIET],"BE, Mechanical Engineering",8.0,College review,The placement of this college quite good the average package of this college is about 4lpa to 20 lpa . The placements for the student of computer science  is highest . The percent of student get placed is approx  70 percent . I am preparing  for the CAT exam and want to MBA after my engineering.  Till now I have not visited any companies.
Student (Anonymous),Indian Institute of Information Technology - [IIIT],"B.Tech, Electronics & Communication Engineering",8.5,Review for IIIT Ranchi,"Placements are good you can check the official website for accurate stats . All major companies like amazon ,flipkart ,adobe, intel ,atlassian .etc have visited our college for on - campus placement .Highest package is around 84 lpa .Average package is around 14 - 16 lpa.Around 90% students are placed this year."
Hotri Trivedi,Silver Oak University,"B.Tech, Computer Engineering",6.8,Student of SOU,The college organizes sports week and competitions to encourage outdoor activities along with annual fests like Junoon and rangmanch to provide a stage for performers. College has a very active IEEE student branch run solely and wholly by students with the trust of faculties.
Tanay patwari,S.V. Arts and Science College,"B.Sc, Computer Science",7.0,Its alright,"Students are eligible to get placement after the third year and students get campus placement.
Companies like TCS, and Infosys come for placement.
The highest paid package is 15 lpa.
The lowest is around 6 lpa.
Most of the students get placement.
I will pursue a master's degree after this degree."
Satyam kushwaha,Sant Longowal Institute of Engineering and Technology - [SLIET],"BE, Chemical Engineering",8.4,COLLEGE INFO,"The campus life was awesome, the college is full of a greenish environment. The students here are also very social and open to all and the clubs are very much here and for all fields and branches, some are happy clubs, NCC, taekwondo, and sivesha for photography. We have many facilities in the classroom, there are many smart classes for students loaded with ac, and the sport is also very active."
MAURYA SHIVAM PRAVINPRATAP,Parul University,"B.Sc, Geology",8.3,Nonbiased,"There is a fest in each semester on can comfortably say twice a semester. The library is full of all boobs and they serve as an online library too. The classroom is kind of orthodox in some faculties other for engineering they are good.
Sports are conducted even the nonfamous international sports are conducted too as the number of. International students are extensive."
Sneha kumawat,R.D. & S.H. National College And S.W.A. Science College,"B.M.M,",7.8,College life in RD national,"This course (BMM) is more of a skill-based course that requires creative heads. We have 2 sections each containing approximately 60 students. We have the best-experienced faculty and the guest faculties are media specialists. Their teaching methods are more practical rather than just theoretical. This is a three-year course with 6 semesters. Exams for each semester are held timely. And honestly, if you attend all the lectures it becomes easy to score well in exams."
Snigdha Niyant Joshi,Silver Oak College of Engineering and Technology - [SOCET],"B.Tech, Computer Engineering",7.4,SOCET(SOU) Review,"The annual fest is conducted once a year for the whole university, this way students gets to interact with students of other department and fields along with sharing their interests and idea with each other. The library is of moderate level. There are a few clubs over here that are worth joining and sports week is also conducted. IEEE of SOU is one f the best club present at the university."
Eshwar Singh,R.D. & S.H. National College And S.W.A. Science College,"B.Com, Accounting And Finance",8.8,All over improvement in your life,"I don't think there's any better college than National regarding the fest. It's one of their specialty. 
BAF department has its own fest named Mumbai Dreams which is well known all across Maharashtra soon going to be more popular. Amenities are pretty good they have their library, ac in the classroom, and different washrooms on each floor."
Ish kumar,Haridwar University,"B.Tech, Electrical And Electronics Engineering",9.8,Ny journey and experience in my dream college,"I always wanted to be n engineer. I took motivation from my uncle who is working with an MNC in this field.
Faculty are one of the great points of this college. All teachers are well-qualified and they are always available to help u out.
All faculty try to teach us in a very practical way so that it enhances our minds on a daily basis.
In engineering 8 semesters were there and in between 2 sem 2 internal exams were conducted.
As I told teachers were so good that we easily passed all exams."
Student (Anonymous),Indian Institute of Information Technology - [IIIT],"B.Tech, Computer Science and Engineering",6.6,Decent College,"I wanted CSE at a good govt. College and this was the best option amongst the rest options that I was getting.
Talking about faculty to student ratio it's roughly about 1:60 in the first year and it reduces further years because the first year both the branches CSE and ECE have combined classes.
All the teachers are highly qualified, and all of them are holding Ph.D. degrees. Some of them are retired professors from IITs.
Most of the teachers teach well, though some have minor problems which include pronunciation issues etc.
Our first year is only 9 months. so it's a bit hectic. Two exams are conducted basically mid sem and the end sem.
The difficulty depends on the faculty, some are easy to pass, but some are tough ones really."
Student (Anonymous),National Institute of Technology - [NIT],"B.Tech, Civil Engineering",8.0,College Dayz,From sixth semester the students become eligible for campus placements. There are several companies which offer a good package. Highest package in my course is 12LPA and lowest is 3LPA. More than 85% students got placement.
Kritika,Lovely Professional University - [LPU],"BA, General",7.6,University to look forward,"I paid 19000 annually. The cost was a bit on the higher side as compared to other colleges, however, they do provide scholarships, so my fees got covered under a sports scholarship.
If we win medals during senior nations games or international games or all India intervarsity then our accommodation and food was being taken care of by the university"
Saurabh Mishra,Indian Institute of Information Technology - [IIIT],"B.Tech, Computer Science and Engineering",8.0,IIIT Ranchi Review,"IIIT Ranchi is a new institute but its placements are very good. It is one of the fastest-growing technical institutes in the country. The current average package of the college is about 16 lpa. Many prestigious companies including Amazon, Google, and many other MNCs visit the campus. More than 90 percent of students are getting placed rest mostly good for higher studies and do not opt to sit in campus placements. I will start my own business after getting my degree."
Ankur Gupta,Indian Institute of Information Technology - [IIITG],"B.Tech, Computer Science and Engineering",9.8,IIIT Guwahati is best IIIT in india,"CSE at IIIT Guwahati is one of the best if you want to be placed at good MNCs it has a good past record.
Faculty are good and attendance is a must for some professors.
90% are from IIT Guwahati PhD holders some are from Australia/UK with very good knowledge.
Term exams are so difficult in IIIT GUWAHATI very strict checking and hard to get 7cpi plus."
Kritnandan,IIT Kanpur - Indian Institute of Technology - [IITK],"B.Tech, Biological Sciences And Bio-Engineering",8.8,GOOD CAREER OPTION AND PROJECTS,"In the iitk the annual fest is mainly have Antragini , Techkriti ,Udhgosh . Antragini is the asia's biggest cultural fest which is held in the month of october in this fest there are many college participate and perform. preparetion for this fest start before the 4 to 5 month . Techkriti is a technical fest which is held in the month of march. Udhgosh is the sports fest which is held in the month of oct-nov. In the library there are many books available also the every type of the magzine and news paper is also available in the library. for the sports here have all types of sports ground even that game is outdoor or indoor. in iitk have the student body gymkhana in which under many clubs , society and cell which is runs by the student. the name of the council media and culture , games and sports , academic and career and science and technology and in cell enterprenurship cell , outreach cell ,public policy opinion cell  in society welfair society etc."
Prajwal Pratap Mane,R.D. & S.H. National College And S.W.A. Science College,"B.Com, Accounting And Finance",10.0,BAF DEPARTMENT ALWAYS ROCKS,"We have our own fest Mumbai Dreams which we do in the month of Feb or March this is the biggest fest in our college where we have a footfall of 6000 to 8000 in 3 days and we have very big sponsors such as upstox, Punjab National Bank, Libaas and many more and we have stalls till our gate and we have very great fest just because of our teachers and coordinator who support us to do such things and we do many more social activities like beach cleaning by baf department with help of the group."
Kasifa Abulkhair Shaikh,R.D. & S.H. National College And S.W.A. Science College,"B.Com, Accounting And Finance",10.0,Important review for college.,I have taken this course as I am interested in accounting and finances and I have chosen this college as this course is excellent in this college. The faculty are overall very good our department co-ordinator is done with phd and our other faculty is done teaching course entrance exam and all others are excellent. The term exam is conducted on time as the student should pass the exam on average marks.
Bhavya,SRM Institute of Science and Technology - [SRMIST],"B.Tech, Computer Science and Engineering",8.7,My Honest Review for Srmist,"We have many fests going on all around the year! Mainly Milan and Aarush which are the main fests. Milan is a cultural fest while Aarush is a tech fest. Milan is the biggest one, where people from all over the world are invited and perform here. Many well-known celebrities inaugurate the fest. 
There are vast varieties of books in the library you will find books of all kinds of genres and subjects.
Classrooms have all amenities required for learning and teaching. 
There are many sports admissions going on, srm has its own teams in all sports which participate in state and national-level competitions."
omkar nagpure,GH Raisoni College of Engineering - [GHRCE],"B.Tech, Mechanical Engineering",10.0,proud to be Raisonian,"I have a big amount of interest in the automotive field so I choose to get admission to a mechanical branch of Gh raisoni college of Engineering.
10:20,
most of the faculty of gh raisoni is qualified in Ph.D. in specialization subjects.
there is a time-to-time exam schedule and the exam was a little bit tough."
Ishika Shastrakar,Sadabai Raisoni Women's College - [SRWC],"BCA, General",7.7,A good-bad way of college life,"The college has taken lots of fests including games and fun activities like Bollywood day, traditional day, and representation of Indian cultures and religions.
There are lots of books available in the library related to the courses available in college with respective blocks in the library. We have a sports room including indoor sports with a wonderful staff for teaching them.
The college has its student club which takes care of activities held in the college."
Ved Prakash Vishwakarma,IIT Kanpur - Indian Institute of Technology - [IITK],"B.Tech, Electrical Engineering",9.3,Internship Wrapup,"There are various types of internships available here: Summer Internships: These are conducted in the summer breaks and last from a couple of weeks to a few months. We got the opportunity to work on research projects under the guidance of professors or in collaboration with industry partners.
Winter Internships:  It is similar to summer internships but the main difference is that is during the winter breaks. These internships provide us with hands-on experience and exposure to research and industry projects.
Internship Programs conducted by IIT Kanpur in collaboration with government agencies, research organizations, and corporate partners. These programs often have a structured curriculum and provide students with a good experience of the internship.
There is a famous program named SURGE conducted by IIT Kanpur regarding this."
Khushal Purohit,Silver Oak University,"B.Sc, Biotechnology",4.8,Honest review of my experience in Silver Oak University,I am interested in this course that's why I choose this course. Per 5 students 1 teacher is there. Faculty are well educated but some of them don't know how to explain better in an interactive way. There is one mid sem and end sem exam per semester and it is very easy to pass it even if you read one night before the exam you can pass with good grades.
Shreyash Sharma,ABES Engineering College,"B.Tech, Information Technology",8.3,A decent college with ample opportunities,"Tech fests are held every two years. And Genero is the annual cultural fest which boasts of having some big names from the music industry. Genero 2023 had Sukhe Musical Doctorz and Akhil performing on the stage.
The books are provided to every student from the book bank present in the library. You can also read other books available in the library.
The classrooms are all air-conditioned and well-maintained. 
Sports and other extracurricular activities are also conducted but in the first year, you have to focus more on the academics. 
There are various clubs and societies run by the college which provide you with ample opportunities  to showcase your talent and also spice up your college life.
Some of the prominent societies include Kalakrit, Salaah, Creative-U, Talentrove etc."
Harimurali,Sahyadri College of Engineering & Management (SCEM),"BE, Computer Science And Engineering",3.8,Average student can survive in this campus,"From the 8th semester students become eligible for campus placements, there are a lot of students who get placed in Infosys, Microsoft, Toyota, intel, etc, and some small companies. But the no of students who did not get placed was also more, the average package was around 7 lakh, and the highest package according to me was around 22 lakh I may be wrong. The percentage the student get was around 75 % now I am in my own business."
Dhruv bhangre,R.D. & S.H. National College And S.W.A. Science College,"BA, General",6.8,College Truth,"Mostly students didn't opt for college placements they wanted to do further studies but out of those who opted for placements almost all got placed few of the top companies are ICICI, HDFC, TCS, WIPRO, KOTAK, HP, Skyline, Capgemini, etc the average package offered is 3.8 LPA and the highest salary package offered is 5 LPA as mentioned below most students don't do for placement who goes they get the placement. after completing graduation doing MA in Hindi literature. and then giving the entrance exam NETCET for becoming a professor"
Student (Anonymous),Rajasthan Technical University - [RTU],"B.Tech, Computer Science",10.0,Review about my college.( All pros and cons),"The total fee for the course is 45k per annum. But if u got more than 75% in Sr. Sec. Examination then you get a scholarship from college. And after the scholarship, your fees will be 22k for the first year. And if you maintain this percentage in each semester then your fees will be 11k per semester."
Ahmed raza,NIMS University,"M.Sc, Medical Microbiology",7.3,M.sc (Microbiology),"The campus life of Nims University is soo good, the university organises a lot of cultural fests and annual sports competition events throughout the year.
University has 3 libraries with reading hall the central library is wifi enabled and has a great collection of books with a huge reading hall and also a computer section for students. 
All the classroom is well equipped with smartboards or projectors to give us a great learning experience. 
There are a lot of sports activities available on the campus which includes cricket, football, basketball, tennis and badminton and all these activities are performed at the university level in the annual sports competition of the university.
There are few social groups in the university for social gatherings, cultural events and religious practices."
